,importance
V14,0.21800826565359574
V10,0.13297167020430017
V4,0.11298729104913285
V12,0.10729443816489559
V17,0.09169263905796886
V3,0.0789274702406045
V11,0.05213450420152774
V16,0.040471627849489454
V2,0.038684117588758136
V9,0.027178906344066767
V7,0.013840399959972011
V21,0.012889503780191132
V1,0.007996798212991148
V6,0.007006610385947188
V18,0.006908459445537068
V8,0.00571580020206144
V13,0.004912882102346141
V27,0.004786973083271634
V28,0.004498130762129862
Time,0.004458016018741474
V19,0.00355250003660609
Amount,0.0035490109018492134
V20,0.003434522666912625
V26,0.0028429258974708525
V5,0.0026923816749971747
V22,0.0025997954558319553
V15,0.0023801172648843
V23,0.001991861399447907
V25,0.001939922454724478
V24,0.0016524579397465553
